query_id,doc_id,position0,position1,position2,position3,position4,position5,position6,position7,position8,position9,bird_count,cat_count,dog_count,tiger_count,relevance
0,0,3,5,0,6,4,0,2,8,-1,-1,3,2,2,0,0.4847325467104354
0,1,3,5,0,6,4,0,2,8,-1,-1,0,2,1,1,0.44982418252523193
0,2,3,5,0,6,4,0,2,8,-1,-1,2,0,1,0,0.360771959757067
0,3,3,5,0,6,4,0,2,8,-1,-1,0,1,0,1,0.24997005515315174
0,4,3,5,0,6,4,0,2,8,-1,-1,0,1,1,3,0.22658657483069966
0,5,3,5,0,6,4,0,2,8,-1,-1,3,2,0,2,0.3053196575478294
0,6,3,5,0,6,4,0,2,8,-1,-1,1,1,1,1,0.36717205941931674
0,7,3,5,0,6,4,0,2,8,-1,-1,1,1,1,0,0.5806522106589268
0,8,3,5,0,6,4,0,2,8,-1,-1,0,1,1,1,0.36717205941931674
0,9,3,5,0,6,4,0,2,8,-1,-1,0,0,0,3,0.14875465701459267
0,10,3,5,0,6,4,0,2,8,-1,-1,0,3,2,0,0.5302377639460795
0,11,3,5,0,6,4,0,2,8,-1,-1,3,0,0,0,0.2928932188134524
0,12,3,5,0,6,4,0,2,8,-1,-1,0,1,2,1,0.44982418252523193
0,13,3,5,0,6,4,0,2,8,-1,-1,1,0,1,1,0.24997005515315174
0,14,3,5,0,6,4,0,2,8,-1,-1,0,2,3,0,0.5302377639460795
1,0,3,7,1,5,4,0,6,-1,-1,-1,3,2,2,0,0.4511523340738124
1,1,3,7,1,5,4,0,6,-1,-1,-1,0,2,1,1,0.24444152991702284
1,2,3,7,1,5,4,0,6,-1,-1,-1,2,0,1,0,0.39990151335043833
1,3,3,7,1,5,4,0,6,-1,-1,-1,0,1,0,1,0.13187349605688947
1,4,3,7,1,5,4,0,6,-1,-1,-1,0,1,1,3,0.1155621450348987
1,5,3,7,1,5,4,0,6,-1,-1,-1,3,2,0,2,0.26806201630663384
1,6,3,7,1,5,4,0,6,-1,-1,-1,1,1,1,1,0.5485153717749387
1,7,3,7,1,5,4,0,6,-1,-1,-1,1,1,1,0,0.5485153717749387
1,8,3,7,1,5,4,0,6,-1,-1,-1,0,1,1,1,0.34464040765871706
1,9,3,7,1,5,4,0,6,-1,-1,-1,0,0,0,3,0.0
1,10,3,7,1,5,4,0,6,-1,-1,-1,0,3,2,0,0.2794833969518806
1,11,3,7,1,5,4,0,6,-1,-1,-1,3,0,0,0,0.2631871208960498
1,12,3,7,1,5,4,0,6,-1,-1,-1,0,1,2,1,0.2635736783791617
1,13,3,7,1,5,4,0,6,-1,-1,-1,1,0,1,1,0.532297330306211
1,14,3,7,1,5,4,0,6,-1,-1,-1,0,2,3,0,0.2911880331200345
2,0,7,0,2,3,6,1,8,4,-1,-1,3,2,2,0,0.8643491103457738
2,1,7,0,2,3,6,1,8,4,-1,-1,0,2,1,1,0.26622347821848136
2,2,7,0,2,3,6,1,8,4,-1,-1,2,0,1,0,0.8982618327593304
2,3,7,0,2,3,6,1,8,4,-1,-1,0,1,0,1,0.21749804027263175
2,4,7,0,2,3,6,1,8,4,-1,-1,0,1,1,3,0.21456406502938274
2,5,7,0,2,3,6,1,8,4,-1,-1,3,2,0,2,0.7765827849295088
2,6,7,0,2,3,6,1,8,4,-1,-1,1,1,1,1,0.6079388623299502
2,7,7,0,2,3,6,1,8,4,-1,-1,1,1,1,0,0.7965236655186606
2,8,7,0,2,3,6,1,8,4,-1,-1,0,1,1,1,0.19147545759505002
2,9,7,0,2,3,6,1,8,4,-1,-1,0,0,0,3,0.21749804027263175
2,10,7,0,2,3,6,1,8,4,-1,-1,0,3,2,0,0.2799991917615765
2,11,7,0,2,3,6,1,8,4,-1,-1,3,0,0,0,1.0
2,12,7,0,2,3,6,1,8,4,-1,-1,0,1,2,1,0.24536104795852554
2,13,7,0,2,3,6,1,8,4,-1,-1,1,0,1,1,0.6079388623299502
2,14,7,0,2,3,6,1,8,4,-1,-1,0,2,3,0,0.2641993349459638
3,0,6,1,3,5,0,7,4,-1,-1,-1,3,2,2,0,0.3927914824027608
3,1,6,1,3,5,0,7,4,-1,-1,-1,0,2,1,1,0.19111531706127305
3,2,6,1,3,5,0,7,4,-1,-1,-1,2,0,1,0,0.25217955539740605
3,3,6,1,3,5,0,7,4,-1,-1,-1,0,1,0,1,0.12579250799809177
3,4,6,1,3,5,0,7,4,-1,-1,-1,0,1,1,3,0.10647358809337482
3,5,6,1,3,5,0,7,4,-1,-1,-1,3,2,0,2,0.3427576708407738
3,6,6,1,3,5,0,7,4,-1,-1,-1,1,1,1,1,0.501381822825153
3,7,6,1,3,5,0,7,4,-1,-1,-1,1,1,1,0,0.501381822825153
3,8,6,1,3,5,0,7,4,-1,-1,-1,0,1,1,1,0.31405253136437816
3,9,6,1,3,5,0,7,4,-1,-1,-1,0,0,0,3,0.0
3,10,6,1,3,5,0,7,4,-1,-1,-1,0,3,2,0,0.22940375497453416
3,11,6,1,3,5,0,7,4,-1,-1,-1,3,0,0,0,0.2071067811865475
3,12,6,1,3,5,0,7,4,-1,-1,-1,0,1,2,1,0.2956564913206103
3,13,6,1,3,5,0,7,4,-1,-1,-1,1,0,1,1,0.3545397808446553
3,14,6,1,3,5,0,7,4,-1,-1,-1,0,2,3,0,0.3010425712032945
4,0,8,0,2,5,-1,-1,-1,-1,-1,-1,3,2,2,0,0.26733204810912736
4,1,8,0,2,5,-1,-1,-1,-1,-1,-1,0,2,1,1,0.4487885403306887
4,2,8,0,2,5,-1,-1,-1,-1,-1,-1,2,0,1,0,0.2928932188134524
4,3,8,0,2,5,-1,-1,-1,-1,-1,-1,0,1,0,1,0.629632309547939
4,4,8,0,2,5,-1,-1,-1,-1,-1,-1,0,1,1,3,0.7478738992589989
4,5,8,0,2,5,-1,-1,-1,-1,-1,-1,3,2,0,2,0.5643414162825529
4,6,8,0,2,5,-1,-1,-1,-1,-1,-1,1,1,1,1,0.629632309547939
4,7,8,0,2,5,-1,-1,-1,-1,-1,-1,1,1,1,0,0.23658318240431475
4,8,8,0,2,5,-1,-1,-1,-1,-1,-1,0,1,1,1,0.629632309547939
4,9,8,0,2,5,-1,-1,-1,-1,-1,-1,0,0,0,3,0.7668327022439255
4,10,8,0,2,5,-1,-1,-1,-1,-1,-1,0,3,2,0,0.23658318240431475
4,11,8,0,2,5,-1,-1,-1,-1,-1,-1,3,0,0,0,0.2928932188134524
4,12,8,0,2,5,-1,-1,-1,-1,-1,-1,0,1,2,1,0.5083394003686792
4,13,8,0,2,5,-1,-1,-1,-1,-1,-1,1,0,1,1,0.7668327022439255
4,14,8,0,2,5,-1,-1,-1,-1,-1,-1,0,2,3,0,0.26733204810912736
5,0,5,1,6,-1,-1,-1,-1,-1,-1,-1,3,2,2,0,0.27130177930845245
5,1,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,0.32172433345164414
5,2,5,1,6,-1,-1,-1,-1,-1,-1,-1,2,0,1,0,0.14387949592273716
5,3,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0.2877589918454743
5,4,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0.13565088965422623
5,5,5,1,6,-1,-1,-1,-1,-1,-1,-1,3,2,0,2,0.1918393278969829
5,6,5,1,6,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.4069526689626787
5,7,5,1,6,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0.4069526689626787
5,8,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0.4069526689626787
5,9,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,0,0,3,0.0
5,10,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,3,2,0,0.34584326669156057
5,11,5,1,6,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0.0
5,12,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0.32172433345164414
5,13,5,1,6,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,0.2877589918454743
5,14,5,1,6,-1,-1,-1,-1,-1,-1,-1,0,2,3,0,0.34584326669156057
6,0,3,5,0,7,4,1,3,6,0,8,3,2,2,0,0.35398335159857314
6,1,3,5,0,7,4,1,3,6,0,8,0,2,1,1,0.22647920648196881
6,2,3,5,0,7,4,1,3,6,0,8,2,0,1,0,0.21794665009020622
6,3,3,5,0,7,4,1,3,6,0,8,0,1,0,1,0.22011133251452825
6,4,3,5,0,7,4,1,3,6,0,8,0,1,1,3,0.24887944004152485
6,5,3,5,0,7,4,1,3,6,0,8,3,2,0,2,0.36864499604898937
6,6,3,5,0,7,4,1,3,6,0,8,1,1,1,1,0.5512497361040117
6,7,3,5,0,7,4,1,3,6,0,8,1,1,1,0,0.4294208308175086
6,8,3,5,0,7,4,1,3,6,0,8,0,1,1,1,0.3887435295302588
6,9,3,5,0,7,4,1,3,6,0,8,0,0,0,3,0.18062459310091533
6,10,3,5,0,7,4,1,3,6,0,8,0,3,2,0,0.1537697868803128
6,11,3,5,0,7,4,1,3,6,0,8,3,0,0,0,0.2071067811865475
6,12,3,5,0,7,4,1,3,6,0,8,0,1,2,1,0.27030165423957064
6,13,3,5,0,7,4,1,3,6,0,8,1,0,1,1,0.4221267528795654
6,14,3,5,0,7,4,1,3,6,0,8,0,2,3,0,0.1537697868803128
7,0,2,7,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,0,0.0
7,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,1.0
7,2,2,7,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,0,0.0
7,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,1.0
7,4,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1.0
7,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,3,2,0,2,0.0
7,6,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.0
7,7,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0.0
7,8,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1.0
7,9,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,3,1.0
7,10,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,3,2,0,1.0
7,11,2,7,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0.0
7,12,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,1.0
7,13,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,0.0
7,14,2,7,-1,-1,-1,-1,-1,-1,-1,-1,0,2,3,0,1.0
8,0,3,8,0,5,4,0,3,6,1,7,3,2,2,0,0.3530970040393481
8,1,3,8,0,5,4,0,3,6,1,7,0,2,1,1,0.24839381262206173
8,2,3,8,0,5,4,0,3,6,1,7,2,0,1,0,0.26600116288607933
8,3,3,8,0,5,4,0,3,6,1,7,0,1,0,1,0.21571065378646292
8,4,3,8,0,5,4,0,3,6,1,7,0,1,1,3,0.21092524591910689
8,5,3,8,0,5,4,0,3,6,1,7,3,2,0,2,0.4978630366697029
8,6,3,8,0,5,4,0,3,6,1,7,1,1,1,1,0.6217202362241219
8,7,3,8,0,5,4,0,3,6,1,7,1,1,1,0,0.39509332512287554
8,8,3,8,0,5,4,0,3,6,1,7,0,1,1,1,0.3927493059431344
8,9,3,8,0,5,4,0,3,6,1,7,0,0,0,3,0.11841988771783485
8,10,3,8,0,5,4,0,3,6,1,7,0,3,2,0,0.1848385925599626
8,11,3,8,0,5,4,0,3,6,1,7,3,0,0,0,0.2631871208960498
8,12,3,8,0,5,4,0,3,6,1,7,0,1,2,1,0.2769712784247552
8,13,3,8,0,5,4,0,3,6,1,7,1,0,1,1,0.4475786974874053
8,14,3,8,0,5,4,0,3,6,1,7,0,2,3,0,0.20225699560682808
9,0,5,1,7,1,6,-1,-1,-1,-1,-1,3,2,2,0,0.5524522527711776
9,1,5,1,7,1,6,-1,-1,-1,-1,-1,0,2,1,1,0.2492065971055799
9,2,5,1,7,1,6,-1,-1,-1,-1,-1,2,0,1,0,0.5202896398612805
9,3,5,1,7,1,6,-1,-1,-1,-1,-1,0,1,0,1,0.2034763344813393
9,4,5,1,7,1,6,-1,-1,-1,-1,-1,0,1,1,3,0.11747711648651961
9,5,5,1,7,1,6,-1,-1,-1,-1,-1,3,2,0,2,0.5180744771400952
9,6,5,1,7,1,6,-1,-1,-1,-1,-1,1,1,1,1,0.6117253109704434
9,7,5,1,7,1,6,-1,-1,-1,-1,-1,1,1,1,0,0.6117253109704434
9,8,5,1,7,1,6,-1,-1,-1,-1,-1,0,1,1,1,0.3524313494595588
9,9,5,1,7,1,6,-1,-1,-1,-1,-1,0,0,0,3,0.0
9,10,5,1,7,1,6,-1,-1,-1,-1,-1,0,3,2,0,0.2796514731266903
9,11,5,1,7,1,6,-1,-1,-1,-1,-1,3,0,0,0,0.5
9,12,5,1,7,1,6,-1,-1,-1,-1,-1,0,1,2,1,0.305214501722009
9,13,5,1,7,1,6,-1,-1,-1,-1,-1,1,0,1,1,0.5768927434002995
9,14,5,1,7,1,6,-1,-1,-1,-1,-1,0,2,3,0,0.31812953533412586
